id,name,rating,address,city,lat,lon
165,t-spot-boba-drinks-and-snacks-san-jose,4,2520 Berryessa Rd,San Jose,37.3879799,-121.8588819
166,meow-tea-san-jose,4,2857 Senter Rd,San Jose,37.29956,-121.84016
167,fantasia-coffee-and-tea-san-jose-4,3.5,378 Santana Row,San Jose,37.31947562,-121.947621
168,monster-boba-cupertino-3,3.5,10787 S Blaney Ave,Cupertino,37.31128821,-122.023624
169,teasociety-san-jose,3.5,1658 E Capitol Expy,San Jose,37.30615468,-121.8105193
170,bfresh-snacks-and-drinks-san-jose,4,3005 Silver Creek Rd,San Jose,37.30864716,-121.8134613
171,beibay-tea-san-jose,4,1180 Blossom Hill Rd,San Jose,37.24970814,-121.8792868
172,gong-cha-san-jose-19,3.5,1701 Lundy Ave,San Jose,37.38753,-121.88725
173,sweet-gelato-tea-lounge-san-jose,4.5,979 Story Rd,San Jose,37.33133611,-121.8573819
174,sharetea-san-jose-3,3.5,1728 Hostetter Rd,San Jose,37.387508,-121.882934
175,gong-cha-san-jose-8,3.5,1600 Saratoga Ave,San Jose,37.29234201,-121.9887444
176,soyful-desserts-san-jose-8,4,3005 Silver Creek Rd,San Jose,37.30907459,-121.8144266
177,oooh-san-jose-4,4,1783 E Capitol Expwy,San Jose,37.309508,-121.809918
178,the-tea-zone-lounge-san-jose,4,403 N Capitol Ave,San Jose,37.37201899,-121.8461253
179,the-moo-bar-santa-clara,3.5,1080 Kiely Blvd,Santa Clara,37.34594004,-121.979152
180,tapioca-express-san-jose-8,4,81 Curtner Ave,San Jose,37.30303748,-121.8646013
181,purple-kow-san-jose-4,3.5,2435 S King Rd,San Jose,37.32103523,-121.825406
182,heritage-eats-napa,4.5,3824 Bel Aire Plz,Napa,38.32387,-122.30711
183,yobelle-napa-2,3.5,1000 Main St,Napa,38.2991692,-122.2852838
184,morimoto-napa-napa,4,610 Main St,Napa,38.29671,-122.28328
185,napa-noodles-napa,3,1124 1st St,Napa,38.29883405,-122.2864587
186,crave-cafe-and-catering-american-canyon,3.5,3419 Broadway St,American Canyon,38.16897553,-122.2543058
187,quickly-american-canyon-3,2.5,410 Napa Junction Rd,American Canyon,38.18488777,-122.2536975
188,top-that-frozen-yogurt-sonoma,3.5,531 Broadway Ave,Sonoma,38.29141438,-122.4580584
189,over-the-top-shop-frozen-yogurt-american-canyon,2.5,5075 Main St,American Canyon,38.18098,-122.25395
190,sushi-grill-vallejo,4,5184 Sonoma Blvd,Vallejo,38.14808826,-122.2529962
191,palm-thai-bistro-fairfield,4.5,5089 Business Center Dr,Fairfield,38.215523,-122.143181
192,green-bamboo-restaurant-fairfield,3.5,4437 Central Pl,Fairfield,38.2219399,-122.12513
193,thai-kitchen-american-canyon,3.5,3425 Broadway St,American Canyon,38.17015,-122.25411
194,sactomofo-sacramento-6,3.5,,Sacramento,38.67463,-121.50861
195,westea-pleasanton,4,4233 Rosewood Dr,Pleasanton,37.69838055,-121.8741244
196,baotea-cafe-pleasanton-2,4.5,6654 Koll Center Pkwy,Pleasanton,37.658818,-121.898176
197,i-tea-dublin-dublin,4,4064 Grafton St,Dublin,37.70319896,-121.8658621
198,aroma-tapioca-tea-and-coffee-pleasanton,3.5,4833 Hopyard Rd,Pleasanton,37.69288,-121.90177
199,i-tea-pleasanton,4,915 Main St,Pleasanton,37.6659099,-121.87418
200,t4-dublin,3.5,3744 Fallon Rd,Dublin,37.7038018,-121.8511682
201,tea-factory-dublin-2,4,8945 San Ramon Rd,Dublin,37.7222341,-121.9419009
202,icicles-pleasanton,4,600 Main St,Pleasanton,37.661346,-121.87506
203,sharetea-dublin-3,4,7375 Amador Valley Blvd,Dublin,37.7103899,-121.92744
204,cafe-tapioca-dublin,3.5,7160 Regional St,Dublin,37.703959,-121.9342246
205,quickly-pleasanton,3.5,1 Stoneridge Mall Rd,Pleasanton,37.69565444,-121.9293179
206,letea-pleasanton-2,2.5,4299 Rosewood Dr,Pleasanton,37.69956,-121.87326
207,tea-breeze-pleasanton,3,4275 Rosewood Dr,Pleasanton,37.69948196,-121.8740845
208,360-crepes-pleasanton-3,4,3120 Santa Rita Rd,Pleasanton,37.6905054,-121.8774678
209,t4-san-ramon-2,3.5,9140 Alcosta Blvd,San Ramon,37.73021,-121.93009
210,i-tea-san-ramon-3,4,21001 San Ramon Valley Blvd,San Ramon,37.7241,-121.94435
211,snowflake-dublin,3.5,4288 Dublin Blvd,Dublin,37.70480597,-121.8751506
212,quickly-dublin,2.5,4288 Dublin Blvd,Dublin,37.705825,-121.876084
213,cafe-taiwan-pleasanton-9,4,3550 Stanley Blvd,Pleasanton,37.669658,-121.858772
214,cafe-junction-pleasanton-3,4,5321 Hopyard Rd,Pleasanton,37.6994,-121.9048344
215,o-honey-dublin,4,3862 Fallon Rd,Dublin,37.70495645,-121.8515379
216,the-mix-creamery-dublin-2,4,6601 Dublin Blvd,Dublin,37.70438024,-121.9115549
217,tasty-pot-dublin,4,4288 Dublin Blvd,Dublin,37.704566,-121.87545
218,ohana-hawaiian-bbq-of-pleasanton-pleasanton,5.7,5410 Sunol Blvd,Pleasanton,37.65223,-121.8786
219,99-ranch-market-pleasanton,3.5,4299 Rosewood Dr,Pleasanton,37.69956,-121.87326
220,menchies-frozen-yogurt-dublin,4,3742 Fallon Rd,Dublin,37.70372106,-121.8514805
221,blossom-bee-dublin,4,7335 Village Pkwy,Dublin,37.71085847,-121.9264197
222,berry-delight-pleasanton,3,1008 Stoneridge Mall Rd,Pleasanton,37.6946294,-121.931563
223,new-thai-bistro-pleasanton-2,4.5,4301 D Valley Ave,Pleasanton,37.67718,-121.87578
224,tutti-frutti-frozen-yogurt-dublin,3,4930 Dublin Blvd,Dublin,37.70402563,-121.8853284
225,kee-wah-bakery-dublin,4,4288 Dublin Blvd,Dublin,37.7045784,-121.8758087
226,blush-organic-frozen-yogurt-dublin,4,4640 Tassajara Rd,Dublin,37.70801,-121.8731
227,koi-palace-dublin,3.5,Ulferts Ctr,Dublin,37.70463675,-121.8760264
228,berry-and-berry-yogurt-livermore,2.5,2774 Livermore Outlets Dr,Livermore,37.69805074,-121.8422487
